"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*041w4*","Bryan Baker","TB","RP","129","Hutch","Active","31","177","5.71","86%","0%","29.1","1.84","33","1","6","16","11","19","1","0","1","31"
"*02iug*","Michael Wacha","KC","SP","138","Coop","Active","34","172","11.47","94%","-2%","94","3.64","72","4","38","82","28","0","0","10","4","15"
"*02hi7*","Kevin Gausman","TOR","SP","143","Sasso","Active","35","170","10.63","99%","0%","89","4.15","89","4","41","82","20","0","0","8","1","16"
"*03btv*","Sandy Alcantara","MIA","SP","144","zyoung51","Active","30","170","10.62","99%","0%","103.1","4.18","77","7","48","104","24","0","0","11","6","16"
"*03et8*","Ranger Suarez","BOS","SP","146","Coop","Active","30","169","12.07","97%","0%","76.2","2.93","75","3","25","62","24","0","0","5","2","14"
"*04pkt*","J.T. Ginn","ATH","SP","133","Sethmc44","Active","27","168","9.88","79%","0%","82.2","3.16","73","5","29","65","35","0","0","6","4","17"
"*041r5*","Dustin May","STL","SP","154","Hutch","Active","28","167","11.93","86%","+4%","81.2","3.75","75","5","34","72","21","0","0","9","5","14"
"*05yaz*","Will Warren","NYY","SP","155","Sasso","Active","27","166","11.07","96%","0%","78.1","3.45","84","7","30","78","26","0","0","5","2","15"
"*04apj*","Jhoan Duran","PHI","RP","156","Jpanner","Active","28","166","6.38","99%","0%","24.2","1.82","37","1","5","19","5","18","0","0","0","26"
"*041vm*","Dylan Lee","ATL","RP","157","JMerkle","Active","31","165","4.71","58%","-1%","33.1","1.08","42","3","4","17","5","0","15","0","0","35"
"*02n2x*","Paul Sewald","ARI","RP","164","Sethmc44","Active","36","163","5.26","81%","0%","28.1","3.18","32","2","10","13","8","18","0","0","1","31"
"*041r1*","Jesus Luzardo","PHI","SP","167","CLANK","Active","28","162","10.8","99%","0%","85.2","4.20","97","6","40","85","27","0","0","7","5","15"
"*0260v*","Sonny Gray","BOS","SP","169","Kipp","Active","36","162","12.46","98%","0%","69.1","3.12","55","8","24","65","17","0","0","8","3","13"
"*05r01*","Robert Suarez","ATL","RP","173","joeybats","Active","35","161","5.19","90%","-1%","32","0.56","26","4","2","21","6","4","12","0","0","31"
"*05ge9*","Shota Imanaga","CHC","SP","178","zyoung51","Active","32","160","10.67","98%","0%","86.2","4.26","84","4","41","70","22","0","0","6","3","15"
"*01ut7*","Nathan Eovaldi","TEX","SP","180","zyoung51","Active","36","159","11.36","98%","0%","87.1","4.23","83","6","41","81","21","0","0","7","6","14"
"*0629b*","Walbert Urena","LAA","SP","224","CLANK","Active","22","156","11.14","68%","0%","67.1","2.41","64","4","18","53","35","0","1","6","5","14"
"*04aok*","Gregory Soto","PIT","RP","187","KRetiree","Reserve","31","155","4.84","81%","-1%","31.1","3.16","37","4","11","18","12","11","6","0","2","32"
"*041wv*","Michael King","SD","SP","191","JMerkle","Active","31","153","10.2","99%","0%","85","3.60","73","4","34","66","35","0","0","6","6","15"
"*05sr2*","Michael McGreevy","STL","SP","192","JMerkle","Active","25","153","10.2","83%","-1%","83.1","3.35","53","3","31","76","20","0","0","9","0","15"
"*03dbm*","Logan Webb","SF","SP","193","GoldTY","Active","29","153","12.75","99%","0%","75.1","3.46","65","4","29","68","19","0","0","8","4","12"
"*05y23*","Tanner Bibee","CLE","SP","194","kyfaess","Active","27","152","9.5","94%","+1%","89.1","4.03","78","2","40","77","28","0","0","8","1","16"
"*05y0j*","Spencer Arrighetti","HOU","SP","195","Kipp","Active","26","152","12.67","93%","0%","69","3.13","68","7","24","51","32","0","0","5","11","12"
"*01fhm*","Martin Perez","ATL","SP","197","Jpanner","Active","35","152","10.13","53%","+3%","68","2.78","56","6","21","50","23","0","0","2","2","15"
"*05y72*","Landen Roupp","SF","SP","198","kyfaess","Reserve","27","151","10.07","85%","-3%","80.1","4.15","89","5","37","71","33","0","0","6","2","15"
"*04mnw*","Ryan Weathers","NYY","SP","200","GoldTY","Active","26","151","10.79","90%","-3%","80.2","4.13","89","2","37","69","22","0","0","5","1","14"
"*04yie*","George Kirby","SEA","SP","202","CLANK","Active","28","150","10","99%","0%","90","4.10","79","5","41","97","21","0","0","8","2","15"
"*04cd5*","MacKenzie Gore","TEX","SP","203","Sasso","Active","27","150","9.38","96%","-1%","84","4.07","92","4","38","72","37","0","0","5","2","16"
"*04ej3*","Riley O'Brien","STL","RP","207","Sasso","Active","31","149","4.81","91%","-1%","31.1","3.73","32","3","13","27","11","18","1","0","5","31"
"*03dfa*","Tanner Scott","LAD","RP","208","Kipp","Active","31","149","4.52","78%","+1%","31","2.32","38","1","8","19","3","9","5","0","0","33"
"*06f1r*","Connelly Early","BOS","SP","257","KRetiree","Active","24","147","9.8","94%","-1%","81.2","3.64","79","5","33","73","31","0","0","5","9","15"
